"version_full";"date (yyyy-mm-dd)"
"8.7.14";"2020-05-20"
"8.7.2";"2019-05-23"
"8.7.3";"2019-06-05"
"8.7.4";"2019-07-04"
"8.7.5";"2019-07-17"
"8.7.6";"2019-08-07"
"8.7.7";"2019-09-04"
"8.7.8";"2019-10-02"
"8.7.9";"2019-11-06"
"8.7.x-dev";"2018-07-13"
"8.8.0";"2019-12-04"
"8.8.0-alpha1";"2019-10-17"
"8.8.0-beta1";"2019-11-08"
"8.8.0-rc1";"2019-11-22"
"8.8.1";"2019-12-18"
"8.8.10";"2020-09-16"
"8.8.11";"2020-11-18"
"8.8.12";"2020-11-26"
"8.8.2";"2020-02-01"
"8.8.3";"2020-03-04"
"8.8.4";"2020-03-18"
"8.8.5";"2020-04-02"
"8.8.6";"2020-05-20"
"8.8.7";"2020-06-03"
"8.8.8";"2020-06-17"
"8.8.9";"2020-09-03"
"8.8.x-dev";"2019-03-07"
"8.9.0";"2020-06-03"
"8.9.0-beta1";"2020-03-26"
"8.9.0-beta2";"2020-04-02"
"8.9.0-beta3";"2020-05-17"
"8.9.0-rc1";"2020-05-22"
"8.9.1";"2020-06-17"
"8.9.10";"2020-11-26"
"8.9.11";"2020-12-03"
"8.9.12";"2021-01-06"
"8.9.13";"2021-01-20"
"8.9.14";"2021-04-21"
"8.9.15";"2021-05-05"
"8.9.16";"2021-05-26"
"8.9.17";"2021-07-21"
"8.9.18";"2021-08-12"
"8.9.19";"2021-09-15"
"8.9.2";"2020-07-08"
"8.9.3";"2020-08-05"
"8.9.4";"2020-09-02"
"8.9.5";"2020-09-03"
"8.9.6";"2020-09-16"
"8.9.7";"2020-10-07"
"8.9.8";"2020-11-05"
"8.9.9";"2020-11-18"
"8.9.x-dev";"2019-10-10"
"9.0.0";"2020-06-03"
"9.0.0-alpha1";"2020-02-11"
"9.0.0-alpha2";"2020-03-04"
"9.0.0-beta1";"2020-03-20"
"9.0.0-beta2";"2020-03-30"
"9.0.0-beta3";"2020-05-16"
"9.0.0-rc1";"2020-05-22"
"9.0.1";"2020-06-17"
"9.0.10";"2020-12-03"
"9.0.11";"2021-01-20"
"9.0.12";"2021-04-21"
"9.0.13";"2021-05-05"
"9.0.14";"2021-05-26"
"9.0.2";"2020-07-08"
"9.0.3";"2020-08-05"
"9.0.4";"2020-09-02"
"9.0.5";"2020-09-03"
"9.0.6";"2020-09-16"
"9.0.7";"2020-10-07"
"9.0.8";"2020-11-18"
"9.0.9";"2020-11-26"
"9.0.x-dev";"2019-10-10"
"9.1.0";"2020-12-02"
"9.1.0-alpha1";"2020-10-23"
"9.1.0-beta1";"2020-11-06"
"9.1.0-rc1";"2020-11-18"
"9.1.0-rc2";"2020-11-25"
"9.1.0-rc3";"2020-11-26"
"9.1.1";"2021-01-07"
"9.1.10";"2021-06-04"
"9.1.11";"2021-07-21"
"9.1.12";"2021-08-12"
"9.1.13";"2021-09-15"
"9.1.2";"2021-01-07"
"9.1.3";"2021-01-20"
"9.1.4";"2021-02-03"
"9.1.5";"2021-03-04"
"9.1.6";"2021-04-07"
"9.1.7";"2021-04-21"
"9.1.8";"2021-05-05"
"9.1.9";"2021-05-26"
"9.1.x-dev";"2019-10-10"
"9.2.0";"2021-06-16"
"9.2.0-alpha1";"2021-05-06"
"9.2.0-beta1";"2021-05-20"
"9.2.0-beta2";"2021-05-26"
"9.2.0-beta3";"2021-05-28"
"9.2.0-rc1";"2021-06-07"
"9.2.1";"2021-07-07"
"9.2.2";"2021-07-21"
"9.2.3";"2021-08-03"
"9.2.4";"2021-08-12"
"9.2.5";"2021-09-01"
"9.2.6";"2021-09-15"
"9.2.x-dev";"2020-10-16"
"9.3.x-dev";"2021-05-01"
