"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"14.01.0339.001";"14.1.339.1";"Update Rollup 5 for Exchange Server 2010 SP1";"2011-08-23"
"14.01.0355.002";"14.1.355.2";"Update Rollup 6 for Exchange Server 2010 SP1";"2011-10-27"
"14.01.0421.000";"14.1.421.0";"Update Rollup 7 for Exchange Server 2010 SP1";"2012-08-08"
"14.01.0421.002";"14.1.421.2";"Update Rollup 7 v2 for Exchange Server 2010 SP1";"2012-10-10"
"14.01.0421.003";"14.1.421.3";"Update Rollup 7 v3 for Exchange Server 2010 SP1";"2012-11-13"
"14.01.0438.000";"14.1.438.0";"Update Rollup 8 for Exchange Server 2010 SP1";"2012-12-10"
"14.02.0247.005";"14.2.247.5";"Exchange Server 2010 SP2";"2011-12-04"
"14.02.0283.003";"14.2.283.3";"Update Rollup 1 for Exchange Server 2010 SP2";"2012-02-13"
"14.02.0298.004";"14.2.298.4";"Update Rollup 2 for Exchange Server 2010 SP2";"2012-04-16"
"14.02.0309.002";"14.2.309.2";"Update Rollup 3 for Exchange Server 2010 SP2";"2012-05-29"
"14.02.0318.002";"14.2.318.2";"Update Rollup 4 for Exchange Server 2010 SP2";"2012-08-13"
"14.02.0318.004";"14.2.318.4";"Update Rollup 4 v2 for Exchange Server 2010 SP2";"2012-10-09"
"14.02.0328.010";"14.2.328.10";"Update Rollup 5 v2 for Exchange Server 2010 SP2";"2012-12-10"
"14.02.0342.003";"14.2.342.3";"Update Rollup 6 Exchange Server 2010 SP2";"2013-02-12"
"14.02.0375.000";"14.2.375.0";"Update Rollup 7 for Exchange Server 2010 SP2";"2013-08-03"
"14.02.0390.003";"14.2.390.3";"Update Rollup 8 for Exchange Server 2010 SP2";"2013-12-09"
"14.03.0123.004";"14.3.123.4";"Exchange Server 2010 SP3";"2013-02-12"
"14.03.0146.000";"14.3.146.0";"Update Rollup 1 for Exchange Server 2010 SP3";"2013-05-29"
"14.03.0158.001";"14.3.158.1";"Update Rollup 2 for Exchange Server 2010 SP3";"2013-08-08"
"14.03.0169.001";"14.3.169.1";"Update Rollup 3 for Exchange Server 2010 SP3";"2013-11-25"
"14.03.0174.001";"14.3.174.1";"Update Rollup 4 for Exchange Server 2010 SP3";"2013-12-09"
"14.03.0181.006";"14.3.181.6";"Update Rollup 5 for Exchange Server 2010 SP3";"2014-02-24"
"14.03.0195.001";"14.3.195.1";"Update Rollup 6 for Exchange Server 2010 SP3";"2014-05-27"
"14.03.0210.002";"14.3.210.2";"Update Rollup 7 for Exchange Server 2010 SP3";"2014-08-26"
"14.03.0224.001";"14.3.224.1";"Update Rollup 8 v1 for Exchange Server 2010 SP3 (recalled)";"2014-12-09"
"14.03.0224.002";"14.3.224.2";"Update Rollup 8 v2 for Exchange Server 2010 SP3";"2014-12-12"
"14.03.0235.001";"14.3.235.1";"Update Rollup 9 for Exchange Server 2010 SP3";"2015-03-17"
"14.03.0248.002";"14.3.248.2";"Update Rollup 10 for Exchange Server 2010 SP3";"2015-06-17"
"14.03.0266.001";"14.3.266.1";"Update Rollup 11 for Exchange Server 2010 SP3 (KB3078674)";"2015-09-15"
"14.03.0266.002";"14.3.266.2";"Update Rollup 11 for Exchange Server 2010 SP3";"2015-09-15"
"14.03.0279.002";"14.3.279.2";"Update Rollup 12 for Exchange Server 2010 SP3";"2015-12-15"
"14.03.0294.000";"14.3.294.0";"Update Rollup 13 for Exchange Server 2010 SP3";"2016-03-15"
"14.03.0301.000";"14.3.301.0";"Update Rollup 14 for Exchange Server 2010 SP3";"2016-06-21"
"14.03.0319.002";"14.3.319.2";"Update Rollup 15 for Exchange Server 2010 SP3";"2016-09-20"
